bicipuerto,      status,      available-bikes,      capacity,      free-space,      long,      station-desc,      lat
GDL-094,In Service,6,15,8,-103.36757, C. Manuel Cambre esquina C. Andrés Teran,20.69324
GDL-095,In Service,15,19,4,-103.35037, Glorieta Av. De los Maestros,20.69306
GDL-096,In Service,9,19,10,-103.35071, C. Jesús García esquina C. Jesús González Ortega,20.6891
GDL-097,In Service,5,19,13,-103.3582, C. José María Vigil esquina C. Juan N. Cumplido,20.68981
GDL-098,In Service,9,19,10,-103.354209, Calz. Federalismo esquina Av. De los Maestros,20.693072
GDL-099,In Service,6,11,5,-103.350525, C. Gral. Eulogio Parra esquina C. González Ortega,20.687196
GDL-100,In Service,2,15,13,-103.37082, C. Ayuntamiento esquina C. Alfredo R. Plasencia,20.69269
GDL-101,In Service,2,15,13,-103.37486, C. Amado Nervo esquina C. José María Vigil,20.68969
GDL-102,In Service,2,10,8,-103.37071, C. José María Vigil esquina C. Manuel M. Dieguez,20.68985
GDL-103,In Service,5,15,10,-103.365814, C. José Clemente Orozco esquina C. Jesús García,20.68861
GDL-104,In Service,2,19,17,-103.34853, C. Pedro Loza esquina Av. Manuel Acuña,20.68348
GDL-105,In Service,9,11,2,-103.34601, C. Pino Suárez esquina C. Joaquin Angulo,20.6822
 status,In Service,6,15,9,-103.34526, C. Juan álvarez esquina C. Belén,20.68465
GDL-107,In Service,10,15,5,-103.353973, Calz. Federalismo esquina C. José María Vigil,20.68981
GDL-108,In Service,11,11,0,-103.33964, C. Hospital esquina C. Alameda,20.68586
GDL-109,In Service,2,19,17,-103.37363, C. Gral. Eulogio Parra esquina Av. Américas,20.68725
GDL-110,In Service,8,10,2,-103.37084, C. Manuel M. Dieguez esquina C. Gral. Eulogio Parra,20.68723
GDL-111,In Service,15,15,0,-103.336305, C. José Palomar esquina C. Hospital,20.686228
GDL-112,In Service,1,11,9,-103.36582, C. José Clemente Orozco esquina C. General Eulogio Parra,20.687
GDL-113,In Service,11,15,4,-103.3627938, C. Ghilardi esquina C. Arista,20.68765483
GDL-114,In Service,4,15,11,-103.3361, C. Monte Cáucaso esquina C. Alameda,20.68925
GDL-115,In Service,5,15,10,-103.35408, Calz. Federalismo esquina C. Francisco Zarco,20.68605
GDL-116,In Service,2,11,9,-103.37989, Av. Manuel Acuña esquina C. Pablo Villaseñor,20.68447
GDL-117,In Service,5,11,6,-103.37653, Av. Manuel Acuña esquina C. Fray Francisco Frejes,20.68427
GDL-118,In Service,5,15,10,-103.38197, C. Antonio de León esquina C. Garibaldi,20.68168
GDL-119,In Service,6,11,5,-103.3785, C. Francisco Rojas González esquina C. Garibaldi,20.68153
GDL-120,In Service,6,11,4,-103.37537, C. Agustín de la Rosa esquina C. Garibaldi,20.68132
GDL-121,In Service,3,19,16,-103.38253, C. Tomás V. Gómez esquina Av. México,20.67914
GDL-122,In Service,2,15,13,-103.37926, Av. México esquina C. Fray Luis De Palacio,20.67947
GDL-123,In Service,2,11,9,-103.376, C. Aurelio Luis Gallardo esquina Av. México,20.67945
GDL-124,In Service,4,15,11,-103.38387, C. Severo Díaz esquina C. Justo Sierra,20.67741
GDL-125,In Service,4,15,11,-103.37993, C. Pablo Villaseñor esquina Av. Miguel Hidalgo,20.67691
GDL-126,In Service,4,11,7,-103.37606, C. Aurelio Luis Gallardo esquina Av. Miguel Hidalgo,20.67647
GDL-127,In Service,6,15,9,-103.38488, Av. Ignacio L. Vallarta esquina Av. De Los Arcos,20.67438
GDL-128,In Service,15,23,8,-103.38409, Av José María Morelos esquina C. Emilio Castelar,20.67554
GDL-129,In Service,4,19,15,-103.37998, C. Lope de Vega esquina Av. Ignacio L. Vallarta,20.67455
GDL-130,In Service,4,11,7,-103.37618, C. Juan Ruiz de Alarcón esquina Av. Ignacio L. Vallarta,20.67448
GDL-131,In Service,6,19,13,-103.384, C. Emilio Castelar esquina Av. De la Paz,20.67206
GDL-132,In Service,10,11,1,-103.37997, C. Lope de Vega esquina Av. De la Paz,20.67207
GDL-133,In Service,9,15,6,-103.37608, C. Juan Ruíz de Alarcón esquina Av. De la Paz,20.67189
GDL-134,In Service,2,19,17,-103.38448, C. Agustín Yáñez esquina C. Francisco Ugarte,20.67016
GDL-135,In Service,8,11,3,-103.3731, C. Victoriano Agüeros esquina Av. Unión,20.66868
GDL-136,In Service,5,19,14,-103.37983, C. Lope de Vega esquina C. Efraín González Luna,20.66927
GDL-137,In Service,4,11,7,-103.37623, C. Juan Ruíz de Alarcón esquina C. Efraín González Luna,20.66957
GDL-138,In Service,3,19,16,-103.39134, C. de la Nebulosa esquina C. Placeres,20.66557
GDL-139,In Service,5,15,8,-103.38863, C. Firmamento esquina Av. Niños Héroes,20.66667
GDL-140,In Service,8,11,3,-103.38488, C. Constelación esquina C. Los Arcos,20.66816
GDL-141,In Service,10,15,5,-103.37621, C. Juan Ruíz de Alarcón esquina C. Agustín Yáñez,20.66702
GDL-142,In Service,14,19,5,-103.38855, C. De la Nebulosa esquina C. Firmamento,20.6647
GDL-143,In Service,12,23,11,-103.38407, C. Eclipse esquina Av. de Los Arcos,20.6625
GDL-144,In Service,1,11,10,-103.394307, C. Primo Feliciano Velázquez esquina C. San Gabriel,20.669931
GDL-145,In Service,9,18,9,-103.3947, C. San Miguel esquina Av. San Francisco,20.66736
GDL-146,In Service,4,11,7,-103.3988986, Av. Guadalupe esquina C. Boturini,20.6662882
GDL-147,In Service,5,15,9,-103.39654, Calz. Lázaro Cárdenas esquina Av. Guadalupe,20.66623
GDL-148,In Service,9,19,10,-103.39788, C. San Rafael esquina Av. Tepeyac,20.66501
GDL-149,In Service,5,11,5,-103.39388, Calz. Lázaro Cárdenas esquina Av. Adolfo López Mateos,20.66511
GDL-150,In Service,6,11,5,-103.3925006, C. Asunción esquina Av. Chapalita,20.66131166
GDL-151,In Service,2,15,13,-103.39496, C. Capuchinas esquina Av. Chapalita,20.66
GDL-152,In Service,3,19,16,-103.38884, Parque de las Estrellas esquina C. Orión,20.65931
GDL-153,In Service,4,11,5,-103.39092, C. Crepúsculo esquina Av. Tonantzin,20.65846
GDL-154,In Service,7,15,8,-103.39363, C. Capuchinas esquina Av. Las Rosas,20.65761
GDL-155,In Service,3,19,16,-103.3883797, Parque de las Estrellas esquina Av. Mariano Otero,20.65712973
GDL-156,In Service,5,15,10,-103.38956, C. Crepúsculo esquina Av. Mariano Otero,20.6564
GDL-157,In Service,8,15,7,-103.38957,Av. Mariano Otero esquina Av. Las Rosas,20.65454
GDL-158,In Service,8,15,7,-103.38957, Av. Faro esquina Av. Las Rosas,20.65158
GDL-159,In Service,3,19,15,-103.33357, C. Guadalupe Victoria esquina Av. Del Ejercito,20.66468
GDL-160,In Service,6,11,5,-103.3315, C. Dr. Silverio Garcia esquina Blvrd. Gral. Marcelino García Barragán,20.66114
GDL-161,In Service,11,19,7,-103.33055, C. Rio Usumacinta esquina Blvrd. Gral. Marcelino García Barragán,20.65925
GDL-162,In Service,1,19,18,-103.33046, C. Rio Tuxpan esquina C. Salvador Lopez Chavez,20.65721
